河北,#genre#
泰安综合 ,http://39.135.157.230:8089/PLTV/88888888/224/3221225720/index.m3u8
泰安公共,http://39.135.157.230:8089/PLTV/88888888/224/3221225990/index.m3u8
山东齐鲁,https://livealone302.iqilu.com/iqilu/qlpd.m3u8
山东齐鲁 ,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000313/index.m3u8
山东体育 ,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000315/index.m3u8
山东新闻 ,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000314/index.m3u8
山东农科 ,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000339/index.m3u8
山东少儿 ,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000340/index.m3u8
山东文旅 ,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000337/index.m3u8
山东生活 ,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000336/index.m3u8
山东综艺 ,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000338/index.m3u8
山东教育 ,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000331/index.m3u8
CCTV1,http://111.63.77.70/gitv_live/G_CCTV-1-MD/G_CCTV-1-MD.m3u8?p=GITV&area=HBYD
CCTV2,http://111.63.77.70/gitv_live/G_CCTV-2-MD/G_CCTV-2-MD.m3u8?p=GITV&area=HBYD
CCTV3,http://111.63.77.70/gitv_live/G_CCTV-3-MD/G_CCTV-3-MD.m3u8?p=GITV&area=HBYD
CCTV4,http://111.63.77.70/gitv_live/G_CCTV-4-MD/G_CCTV-4-MD.m3u8?p=GITV&area=HBYD
CCTV5,http://111.63.77.70/gitv_live/G_CCTV-5-MD/G_CCTV-5-MD.m3u8?p=GITV&area=HBYD
CCTV5+,http://111.63.77.70/gitv_live/G_CCTV-5PLUS-MD/G_CCTV-5PLUS-MD.m3u8?p=GITV&area=HBYD
CCTV6,http://111.63.77.70/gitv_live/G_CCTV-6-MD/G_CCTV-6-MD.m3u8?p=GITV&area=HBYD
CCTV7,http://111.63.77.70/gitv_live/G_CCTV-7-CQ/G_CCTV-7-CQ.m3u8?p=GITV&area=HBYD
CCTV8,http://111.63.77.70/gitv_live/G_CCTV-8-MD/G_CCTV-8-MD.m3u8?p=GITV&area=HBYD
CCTV9,http://111.63.77.70/gitv_live/G_CCTV-9-CQ/G_CCTV-9-CQ.m3u8?p=GITV&area=HBYD
CCTV10,http://111.63.77.70/gitv_live/G_CCTV-10-CQ/G_CCTV-10-CQ.m3u8?p=GITV&area=HBYD
CCTV11,http://111.63.77.70/gitv_live/G_CCTV-11-HQ/G_CCTV-11-HQ.m3u8?p=GITV&area=HBYD
CCTV12,http://111.63.77.70/gitv_live/G_CCTV-12-CQ/G_CCTV-12-CQ.m3u8?p=GITV&area=HBYD
CCTV13,http://111.63.77.70/gitv_live/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8?p=GITV&area=HBYD
CCTV14,http://111.63.77.70/gitv_live/G_CCTV-14-CQ/G_CCTV-14-CQ.m3u8?p=GITV&area=HBYD
CCTV15,http://111.63.77.70/gitv_live/G_CCTV-15/G_CCTV-15.m3u8?p=GITV&area=HBYD
CCTV16,http://111.63.77.70/gitv_live/G_CCTV-16-CQ/G_CCTV-16-CQ.m3u8?p=GITV&area=HBYD
CCTV17,http://111.63.77.70/gitv_live/G_CCTV-17-CQ/G_CCTV-17-CQ.m3u8?p=GITV&area=HBYD
