JS,#genre#

山东新闻,https://livealone302.iqilu.com/iqilu/ggpd.m3u8
山东齐鲁,https://livealone302.iqilu.com/iqilu/qlpd.m3u8
山东体育,https://livealone302.iqilu.com/iqilu/typd.m3u8
山东生活,https://livealone302.iqilu.com/iqilu/shpd.m3u8
山东综艺,https://livealone302.iqilu.com/iqilu/zypd.m3u8
山东农科,https://livealone302.iqilu.com/iqilu/nkpd.m3u8
山东影视,https://livealone302.iqilu.com/iqilu/yspd.m3u8
山东少儿,https://livealone302.iqilu.com/iqilu/sepd.m3u8

CCTV-1综合,http://ott.js.chinamobile.com/TVOD/3/224/3221228049/index.m3u8
CCTV-2财经,http://ott.js.chinamobile.com/TVOD/3/224/3221228094/index.m3u8
CCTV-3综艺,http://ott.js.chinamobile.com/TVOD/3/224/3221228126/index.m3u8
CCTV-4中文,http://ott.js.chinamobile.com/TVOD/3/224/3221228091/index.m3u8
CCTV-5体育,http://ott.js.chinamobile.com/TVOD/3/224/3221228082/index.m3u8
CCTV-5体+,http://ott.js.chinamobile.com/TVOD/3/224/3221228076/index.m3u8
CCTV-6电影,http://ott.js.chinamobile.com/TVOD/3/224/3221228123/index.m3u8
CCTV-7,http://ott.js.chinamobile.com/TVOD/3/224/3221227642/index.m3u8
CCTV-8电视,http://ott.js.chinamobile.com/TVOD/3/224/3221228079/index.m3u8
CCTV-9记录,http://ott.js.chinamobile.com/TVOD/3/224/3221227614/index.m3u8
CCTV-10科教,http://ott.js.chinamobile.com/TVOD/3/224/3221228078/index.m3u8
CCTV-11戏曲,http://223.110.243.157/ott.js.chinamobile.com/TVOD/3/224/3221227524/index.m3u8
CCTV-12社会,http://ott.js.chinamobile.com/TVOD/3/224/3221227655/index.m3u8
CCTV-13新闻,http://ott.js.chinamobile.com/TVOD/3/224/3221228121/index.m3u8
CCTV-14少儿,http://223.110.243.157/ott.js.chinamobile.com/TVOD/3/224/3221227656/index.m3u8
CCTV-15,http://223.110.242.11/ott.js.chinamobile.com/PLTV/3/224/3221227538/index.m3u8
CCTV-16奥林,http://ott.js.chinamobile.com/TVOD/3/224/3221228112/index.m3u8
CCTV-17农业,http://ott.js.chinamobile.com/TVOD/3/224/3221227726/index.m3u8

凤凰卫视香港台,http://ott.js.chinamobile.com/TVOD/3/224/3221228060/index.m3u8
凤凰卫视中文台,http://ott.js.chinamobile.com/TVOD/3/224/3221228057/index.m3u8
凤凰卫视资讯台,http://ott.js.chinamobile.com/TVOD/3/224/3221228098/index.m3u8
CCTV高尔夫网球,http://ott.js.chinamobile.com/TVOD/3/224/3221228138/index.m3u8
河北卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228106/index.m3u8
东方卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228150/index.m3u8
人文纪实,http://ott.js.chinamobile.com/TVOD/3/224/3221227674/index.m3u8
东南卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221227553/index.m3u8
河南卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228221/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228227/index.m3u8
广东卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228230/index.m3u8
黑龙江视,http://ott.js.chinamobile.com/TVOD/3/224/3221228233/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228236/index.m3u8
重庆卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221227729/index.m3u8
天津卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228239/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228159/index.m3u8
辽宁卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228162/index.m3u8
安徽卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228153/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228147/index.m3u8
山东卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228124/index.m3u8
北京卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228115/index.m3u8
贵州卫视http://223.110.245.149/ott.js.chinamobile.com/TVOD/3/224/3221225787/index.m3u8
江西卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228109/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228097/index.m3u8
广西卫视http://ott.js.chinamobile.com/PLTV/3/224/3221228183/index.m3u8
吉林卫视,http://223.110.236.27/ott.js.chinamobile.com/PLTV/3/224/3221228130/index.m3u8
甘肃卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221228166/index.m3u8
云南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221228169/index.m3u8
海南卫视http://ott.js.chinamobile.com/PLTV/3/224/3221228139/index.m3u8
新疆卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221228290/index.m3u8

