YN,#genre#
山东新闻,https://livealone302.iqilu.com/iqilu/ggpd.m3u8
山东齐鲁,https://livealone302.iqilu.com/iqilu/qlpd.m3u8
山东体育,https://livealone302.iqilu.com/iqilu/typd.m3u8
山东生活,https://livealone302.iqilu.com/iqilu/shpd.m3u8
山东综艺,https://livealone302.iqilu.com/iqilu/zypd.m3u8
山东农科,https://livealone302.iqilu.com/iqilu/nkpd.m3u8
山东影视,https://livealone302.iqilu.com/iqilu/yspd.m3u8
山东少儿,https://livealone302.iqilu.com/iqilu/sepd.m3u8

CCTV1综合,http://39.130.202.76:6610/gitv_live/CCTV-1-HD/CCTV-1-HD.m3u8
CCTV2财经,http://39.130.202.76:6610/gitv_live/G_CCTV-2-HD/G_CCTV-2-HD.m3u8
CCTV3综艺,http://223.110.254.137:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8
CCTV3综艺,http://39.130.202.76:6610/gitv_live/CCTV-3/CCTV-3.m3u8
CCTV4中文国际,http://39.130.202.76:6610/gitv_live/G_CCTV-4-HD/G_CCTV-4-HD.m3u8
CCTV5体育,http://223.110.254.137:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8
CCTV5体育,http://39.130.202.76:6610/gitv_live/CCTV-5/CCTV-5.m3u8
CCTV5+体育赛事,http://223.110.254.137:6610/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ.m3u8
CCTV5+体育赛事,http://39.130.202.76:6610/gitv_live/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV6电影,http://223.110.254.137:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8
CCTV6电影,http://39.130.202.76:6610/gitv_live/CCTV-6/CCTV-6.m3u8
CCTV7国防军事,http://223.110.254.137:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8
CCTV7国防军事,http://39.130.202.76:6610/gitv_live/G_CCTV-7-HD/G_CCTV-7-HD.m3u8
CCTV8电视剧,http://223.110.254.137:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ.m3u8
CCTV8电视剧,http://39.130.202.76:6610/gitv_live/G_CCTV-8/G_CCTV-8.m3u8
CCTV9纪录,http://39.130.202.76:6610/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8
CCTV10科教,http://39.130.202.76:6610/gitv_live/G_CCTV-10-HD/G_CCTV-10-HD.m3u8
CCTV11戏曲,http://223.110.254.137:6610/cntv/live1/cctv-11/cctv-11.m3u8
CCTV12社会与法,http://39.130.202.76:6610/gitv_live/G_CCTV-12-HD/G_CCTV-12-HD.m3u8
CCTV13新闻,http://223.110.254.137:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8
CCTV13新闻,http://223.110.254.137:6610/cntv/live1/cctv-13/cctv-13.m3u8
CCTV14少儿,http://39.130.202.76:6610/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8
CCTV15音乐,http://223.110.254.137:6610/cntv/live1/cctv-15/cctv-15.m3u8
CCTV17农业农村,http://39.130.202.76:6610/gitv_live/G_CCTV-17-HD/G_CCTV-17-HD.m3u8
凤凰中文,http://223.110.236.10/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰资讯,http://223.110.235.4/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰香港,http://223.110.236.3/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
教育1台,http://39.130.202.76:6610/gitv_live/G_CETV-1-HD/G_CETV-1-HD.m3u8
北京卫视,http://39.130.202.76:6610/gitv_live/BTV-1/BTV-1.m3u8
东方卫视,http://39.130.202.76:6610/gitv_live/DFWS-HD/DFWS-HD.m3u8
天津卫视,http://39.130.202.76:6610/gitv_live/G_TIANJIN-HD/G_TIANJIN-HD.m3u8
重庆卫视,http://39.130.202.76:6610/gitv_live/G_CHONGQING-HD/G_CHONGQING-HD.m3u8
黑龙江卫视,http://39.130.202.76:6610/gitv_live/G_HEILONGJIANG-HD/G_HEILONGJIANG-HD.m3u8
山东卫视,http://39.130.202.76:6610/gitv_live/G_SHANDONG-HD/G_SHANDONG-HD.m3u8
辽宁卫视,http://39.130.202.76:6610/gitv_live/G_LIAONING-HD/G_LIAONING-HD.m3u8
安徽卫视,http://39.130.202.76:6610/gitv_live/G_ANHUI-HD/G_ANHUI-HD.m3u8
湖北卫视,http://39.130.202.76:6610/gitv_live/G_HUBEI-HD/G_HUBEI-HD.m3u8
湖南卫视,http://39.130.202.76:6610/gitv_live/HNWS-HD/HNWS-HD.m3u8
江西卫视,http://39.130.202.76:6610/gitv_live/G_JIANGXI-HD/G_JIANGXI-HD.m3u8
江苏卫视,http://39.130.202.76:6610/gitv_live/G_JIANGSU-HD/G_JIANGSU-HD.m3u8
浙江卫视,http://39.130.202.76:6610/gitv_live/ZJWS-HD/ZJWS-HD.m3u8
东南卫视,http://39.130.202.76:6610/gitv_live/G_DONGNAN-HD/G_DONGNAN-HD.m3u8
广东卫视,http://39.130.202.76:6610/gitv_live/GDWS-HD/GDWS-HD.m3u8
深圳卫视,http://39.130.202.76:6610/gitv_live/SZWS-HD/SZWS-HD.m3u8
广西卫视,http://39.130.202.76:6610/gitv_live/G_GUANGXI-HD/G_GUANGXI-HD.m3u8
贵州卫视,http://39.130.202.76:6610/gitv_live/G_GUIZHOU-HD/G_GUIZHOU-HD.m3u8
四川卫视,http://39.130.202.76:6610/gitv_live/G_SICHUAN-HD/G_SICHUAN-HD.m3u8
吉林卫视,http://39.130.202.76:6610/gitv_live/G_JILIN-HQ/G_JILIN-HQ.m3u8
河北卫视,http://39.130.202.76:6610/gitv_live/G_HEBEI-HQ/G_HEBEI-HQ.m3u8
河南卫视,http://39.130.202.76:6610/gitv_live/G_HENAN-HQ/G_HENAN-HQ.m3u8
云南卫视,http://39.130.202.76:6610/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
