央视频道,#genre#
CCTV-1,http://111.40.205.87/PLTV/88888888/224/3221225710/index.m3u8
CCTV-2,http://223.110.245.170/PLTV/3/224/3221227207/index.m3u8#http://cctvcnch5ca.v.wscdns.com/live/cctv2_2/10793.m3u8
CCTV-3,http://39.135.32.29:6610/000000001000/1000000001000011218/index.m3u8?i
CCTV-4,http://183.207.249.11/PLTV/3/224/3221225534/index.m3u8
CCTV-5,http://111.40.205.87/PLTV/88888888/224/3221225711/index.m3u8
CCTV-5+,http://111.40.205.87/PLTV/88888888/224/3221225603/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225689/index.m3u8
CCTV-6,https://116.77.72.195/streams/d/cctv6/playlist.m3u8#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221227209/index.m3u8
CCTV-7,http://111.40.205.87/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228569/index.m3u8?fmt=ts2hls
CCTV-9,http://111.40.205.87/PLTV/88888888/224/3221225734/index.m3u8 
CCTV-10,http://111.40.205.87/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-12,http://111.40.205.87/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://223.110.245.170/PLTV/3/224/3221225560/index.m3u8
CCTV-14,http://111.40.205.87/PLTV/88888888/224/3221225732/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225678/index.m3u8
CCTV-15,http://111.40.205.87/PLTV/88888888/224/3221225601/index.m3u8
CCTV-17,http://111.40.205.70/PLTV/88888888/224/3221225765/index.m3u8
卫视频道,#genre#
浙江卫视,http://111.40.205.87/PLTV/88888888/224/3221225612/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225697/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225643/index.m3u8
江苏卫视,http://111.40.205.87/PLTV/88888888/224/3221225613/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225698/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225644/index.m3u8
湖南卫视,http://111.40.205.87/PLTV/88888888/224/3221225610/index.m3u8
安徽卫视,http://111.40.205.87/PLTV/88888888/224/3221225727/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225631/index.m3u8
广东卫视,http://111.40.205.87/PLTV/88888888/224/3221225699/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225736/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225641/index.m3u8
山东卫视,http://111.40.205.87/PLTV/88888888/224/3221225737/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225650/index.m3u8
湖北卫视,http://111.40.205.87/PLTV/88888888/224/3221225705/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225627/index.m3u8
东方卫视,http://111.40.205.87/PLTV/88888888/224/3221225700/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225735/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225647/index.m3u8
